timestamp,level,unit,message
2025-12-14T02:18:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=9449 DF PROTO=UDP SPT=34916 DPT=15600 LEN=43 
2025-12-14T02:19:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=11834 DF PROTO=UDP SPT=48071 DPT=15600 LEN=43 
2025-12-14T02:19:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=13294 DF PROTO=UDP SPT=55817 DPT=15600 LEN=43 
2025-12-14T02:19:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=16473 DF PROTO=UDP SPT=47226 DPT=15600 LEN=43 
2025-12-14T02:20:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=19067 DF PROTO=UDP SPT=55689 DPT=15600 LEN=43 
2025-12-14T02:20:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=22619 DF PROTO=UDP SPT=43911 DPT=15600 LEN=43 
2025-12-14T02:20:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=25213 DF PROTO=UDP SPT=49615 DPT=15600 LEN=43 
2025-12-14T02:21:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=27554 DF PROTO=UDP SPT=50788 DPT=15600 LEN=43 
2025-12-14T02:21:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=28969 DF PROTO=UDP SPT=50450 DPT=15600 LEN=43 
2025-12-14T02:21:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=30465 DF PROTO=UDP SPT=49840 DPT=15600 LEN=43 
2025-12-14T02:22:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=33653 DF PROTO=UDP SPT=56009 DPT=15600 LEN=43 
2025-12-14T02:22:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=37378 DF PROTO=UDP SPT=53256 DPT=15600 LEN=43 
2025-12-14T02:22:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=41054 DF PROTO=UDP SPT=42242 DPT=15600 LEN=43 
2025-12-14T02:23:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=44419 DF PROTO=UDP SPT=48025 DPT=15600 LEN=43 
2025-12-14T02:23:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=47530 DF PROTO=UDP SPT=51947 DPT=15600 LEN=43 
2025-12-14T02:23:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=50108 DF PROTO=UDP SPT=40813 DPT=15600 LEN=43 
2025-12-14T02:24:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=52483 DF PROTO=UDP SPT=51766 DPT=15600 LEN=43 
2025-12-14T02:24:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=54997 DF PROTO=UDP SPT=47127 DPT=15600 LEN=43 
2025-12-14T02:24:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=59383 DF PROTO=UDP SPT=34580 DPT=15600 LEN=43 
2025-12-14T02:25:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=61334 DF PROTO=UDP SPT=42877 DPT=15600 LEN=43 
2025-12-14T02:25:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=63740 DF PROTO=UDP SPT=55512 DPT=15600 LEN=43 
2025-12-14T02:25:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=1964 DF PROTO=UDP SPT=45818 DPT=15600 LEN=43 
2025-12-14T02:26:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=3549 DF PROTO=UDP SPT=53365 DPT=15600 LEN=43 
2025-12-14T02:26:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=6030 DF PROTO=UDP SPT=44594 DPT=15600 LEN=43 
2025-12-14T02:26:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=9922 DF PROTO=UDP SPT=58662 DPT=15600 LEN=43 
2025-12-14T02:27:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=13191 DF PROTO=UDP SPT=49341 DPT=15600 LEN=43 
2025-12-14T02:27:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=15476 DF PROTO=UDP SPT=43299 DPT=15600 LEN=43 
2025-12-14T02:27:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=19928 DF PROTO=UDP SPT=53360 DPT=15600 LEN=43 
2025-12-14T02:28:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=23786 DF PROTO=UDP SPT=48056 DPT=15600 LEN=43 
2025-12-14T02:28:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=27620 DF PROTO=UDP SPT=54139 DPT=15600 LEN=43 
2025-12-14T02:28:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=30357 DF PROTO=UDP SPT=42946 DPT=15600 LEN=43 
2025-12-14T02:29:07.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=33656 DF PROTO=UDP SPT=45718 DPT=15600 LEN=43 
2025-12-14T02:29:25.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=35123 DF PROTO=UDP SPT=47179 DPT=15600 LEN=43 
2025-12-14T02:29:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=37917 DF PROTO=UDP SPT=36432 DPT=15600 LEN=43 
2025-12-14T02:30:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=44663 DF PROTO=UDP SPT=33386 DPT=15600 LEN=43 
2025-12-14T02:30:37.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=45793 DF PROTO=UDP SPT=59109 DPT=15600 LEN=43 
2025-12-14T02:30:43.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=46259 DF PROTO=UDP SPT=49348 DPT=15600 LEN=43 
2025-12-14T02:30:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=46370 DF PROTO=UDP SPT=42926 DPT=15600 LEN=43 
2025-12-14T02:30:55.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=47800 DF PROTO=UDP SPT=57637 DPT=15600 LEN=43 
2025-12-14T02:31:33.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:00:00:01:64:85:05:25:cb:1a:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=36 TOS=0x00 PREC=0x00 TTL=1 ID=49527 DF PROTO=2 
2025-12-14T02:31:37.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=50752 DF PROTO=UDP SPT=33313 DPT=15600 LEN=43 
2025-12-14T02:31:43.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=52101 DF PROTO=UDP SPT=57273 DPT=15600 LEN=43 
2025-12-14T02:31:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=53168 DF PROTO=UDP SPT=35072 DPT=15600 LEN=43 
2025-12-14T02:31:55.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=53561 DF PROTO=UDP SPT=47476 DPT=15600 LEN=43 
2025-12-14T02:32:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=58903 DF PROTO=UDP SPT=57866 DPT=15600 LEN=43 
2025-12-14T02:32:37.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=59094 DF PROTO=UDP SPT=43852 DPT=15600 LEN=43 
2025-12-14T02:32:43.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=59167 DF PROTO=UDP SPT=60500 DPT=15600 LEN=43 
2025-12-14T02:32:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=59952 DF PROTO=UDP SPT=60634 DPT=15600 LEN=43 
2025-12-14T02:32:55.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=60379 DF PROTO=UDP SPT=51281 DPT=15600 LEN=43 
2025-12-14T02:33:37.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=585 DF PROTO=UDP SPT=43670 DPT=15600 LEN=43 
2025-12-14T02:33:38.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:00:00:01:64:85:05:25:cb:1a:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=36 TOS=0x00 PREC=0x00 TTL=1 ID=58056 DF PROTO=2 
2025-12-14T02:33:43.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=1467 DF PROTO=UDP SPT=60430 DPT=15600 LEN=43 
2025-12-14T02:33:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=2079 DF PROTO=UDP SPT=42557 DPT=15600 LEN=43 
2025-12-14T02:33:55.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=2860 DF PROTO=UDP SPT=45740 DPT=15600 LEN=43 
2025-12-14T02:34:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=5260 DF PROTO=UDP SPT=47953 DPT=15600 LEN=43 
2025-12-14T02:34:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=7797 DF PROTO=UDP SPT=40454 DPT=15600 LEN=43 
2025-12-14T02:34:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=10791 DF PROTO=UDP SPT=55067 DPT=15600 LEN=43 
2025-12-14T02:35:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=12118 DF PROTO=UDP SPT=38526 DPT=15600 LEN=43 
2025-12-14T02:35:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=15061 DF PROTO=UDP SPT=53081 DPT=15600 LEN=43 
2025-12-14T02:35:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=16044 DF PROTO=UDP SPT=51686 DPT=15600 LEN=43 
2025-12-14T02:36:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=17633 DF PROTO=UDP SPT=43183 DPT=15600 LEN=43 
2025-12-14T02:36:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=19321 DF PROTO=UDP SPT=58011 DPT=15600 LEN=43 
2025-12-14T02:36:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=23226 DF PROTO=UDP SPT=60694 DPT=15600 LEN=43 
2025-12-14T02:37:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=26766 DF PROTO=UDP SPT=46744 DPT=15600 LEN=43 
2025-12-14T02:37:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=28206 DF PROTO=UDP SPT=37920 DPT=15600 LEN=43 
2025-12-14T02:37:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=29632 DF PROTO=UDP SPT=38634 DPT=15600 LEN=43 
2025-12-14T02:38:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=31042 DF PROTO=UDP SPT=39155 DPT=15600 LEN=43 
2025-12-14T02:38:31.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=32932 DF PROTO=UDP SPT=35908 DPT=15600 LEN=43 
2025-12-14T02:38:49.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=35308 DF PROTO=UDP SPT=43256 DPT=15600 LEN=43 
2025-12-14T02:39:13.000Z,WARNING,kernel,[UFW BLOCK] IN=wlan0 OUT= MAC=01:00:5e:7f:ff:fa:4c:57:39:14:32:ef:08:00 SRC=192.168.1.17 DST=239.255.255.250 LEN=63 TOS=0x00 PREC=0x00 TTL=64 ID=38734 DF PROTO=UDP SPT=40518 DPT=15600 LEN=43 
